date;hpi
1992Q1;15.2
1992Q2;15.2
1992Q3;15.5
1992Q4;13.9
1993Q1;13.6
1993Q2;14.7
1993Q3;15.4
1993Q4;16.8
1994Q1;17.0
1994Q2;18.8
1994Q3;19.4
1994Q4;19.7
1995Q1;18.7
1995Q2;19.2
1995Q3;20.0
1995Q4;20.4
1996Q1;20.8
1996Q2;22.3
1996Q3;22.8
1996Q4;23.4
1997Q1;24.5
1997Q2;26.3
1997Q3;26.2
1997Q4;26.8
1998Q1;30.3
1998Q2;30.8
1998Q3;29.8
1998Q4;29.2
1999Q1;31.1
1999Q2;34.4
1999Q3;34.1
1999Q4;37.0
2000Q1;38.5
2000Q2;42.3
2000Q3;40.4
2000Q4;39.3
2001Q1;40.6
2001Q2;43.5
2001Q3;43.2
2001Q4;42.3
2002Q1;44.7
2002Q2;45.3
2002Q3;45.5
2002Q4;43.8
2003Q1;43.7
2003Q2;43.9
2003Q3;43.1
2003Q4;44.6
2004Q1;47.3
2004Q2;47.5
2004Q3;48.3
2004Q4;49.4
2005Q1;51.7
2005Q2;53.9
2005Q3;53.7
2005Q4;54.8
2006Q1;57.3
2006Q2;60.5
2006Q3;62.5
2006Q4;63.7
2007Q1;68.9
2007Q2;71.5
2007Q3;70.9
2007Q4;68.6
2008Q1;70.4
2008Q2;70.2
2008Q3;68.3
2008Q4;62.8
2009Q1;63.6
2009Q2;67.6
2009Q3;70.6
2009Q4;70.7
2010Q1;73.2
2010Q2;76.0
2010Q3;77.0
2010Q4;76.7
2011Q1;80.6
2011Q2;82.4
2011Q3;83.4
2011Q4;82.4
2012Q1;85.3
2012Q2;87.4
2012Q3;89.8
2012Q4;88.5
2013Q1;91.2
2013Q2;91.9
2013Q3;89.2
2013Q4;88.3
2014Q1;90.1
2014Q2;92.3
2014Q3;92.5
2014Q4;92.5
2015Q1;97.7
2015Q2;99.9
2015Q3;100.8
2015Q4;101.6
2016Q1;105.4
2016Q2;111.1
2016Q3;118.9
2016Q4;120.0
2017Q1;125.4
2017Q2;127.6
2017Q3;122.9
2017Q4;121.1
2018Q1;123.5
2018Q2;128.5
2018Q3;126.7
2018Q4;123.4
2019Q1;128.4
2019Q2;131.1
2019Q3;132.3
2019Q4;128.6
2020Q1;130.9
2020Q2;135.2
2020Q3;135.8
2020Q4;138.2
2021Q1;147.6
2021Q2;156.2
2021Q3;154.9
2021Q4;150.0
2022Q1;161.3
2022Q2;164.5
2022Q3;158.3
2022Q4;151.9
2023Q1;153.3
2023Q2;159.4
